country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-01,GISAID,0.0,0,,Yes,AY.4.2,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.1.7,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.1.7+E484K,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.351,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.427/B.1.429,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.525,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.616,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.617.1,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.620,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,B.1.621,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.1,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.2,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.2.75,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.4,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BA.5,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,BQ.1,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,C.37,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,Other,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,P.1,0,0.0,
Austria,AT,2020-01,GISAID,0.0,0,,Yes,P.3,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,AY.4.2,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.1.7,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.1.7+E484K,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.351,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.427/B.1.429,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.525,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.616,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.617.1,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.620,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,B.1.621,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.1,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.2,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.2.75,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.4,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BA.5,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,BQ.1,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,C.37,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,Other,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,P.1,0,0.0,
Austria,AT,2020-02,GISAID,0.0,0,,Yes,P.3,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,AY.4.2,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.1.7,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.1.7+E484K,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.351,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.427/B.1.429,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.525,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.616,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.617.1,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.620,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,B.1.621,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.1,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.2,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.2.75,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.4,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BA.5,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,BQ.1,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,C.37,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,Other,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,P.1,0,0.0,
Austria,AT,2020-03,GISAID,0.0,0,,Yes,P.3,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,AY.4.2,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.1.7,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.1.7+E484K,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.351,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.427/B.1.429,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.525,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.616,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.617.1,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.617.2,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.620,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,B.1.621,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.1,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.2,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.2.75,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.2+L452X,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.4,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BA.5,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,BQ.1,0,0.0,
Austria,AT,2020-04,GISAID,0.0,0,,Yes,C.37,0,0.0,
